t_phase_ros_s,ctrl_1_x,ctrl_1_y,ctrl_1_z,ctrl_2_x,ctrl_2_y,ctrl_2_z,ctrl_3_x,ctrl_3_y,ctrl_3_z,ctrl_4_x,ctrl_4_y,ctrl_4_z,est_1_x,est_1_y,est_1_z,est_2_x,est_2_y,est_2_z,est_3_x,est_3_y,est_3_z,est_4_x,est_4_y,est_4_z
0.019949913024902344,-0.08164280291566683,-0.10836309878485306,0.0010653427271885008,0.17132645683113878,-0.02336624237211471,-0.23425046316050668,-0.24687569728439485,0.17951574493581562,0.14318892956349583,0.15719204336869552,-0.047786403778847894,-0.006436980869890974,0.009065573450698139,0.016355804186115375,2.1458926387829536e-05,-0.02165706752452934,0.020887815039615454,-0.013193040848748616,-0.012472546589378908,0.009077490882201,-0.02604558558765735,0.007918093519265312,-0.002389214084739036,-0.0003587294507640948
0.03992319107055664,-0.08164280291566683,-0.10836309878485306,0.0010653427271885008,0.17132645683113878,-0.02336624237211471,-0.23425046316050668,-0.24687569728439485,0.17951574493581562,0.14318892956349583,0.15719204336869552,-0.047786403778847894,-0.006436980869890974,0.014501414158530679,0.029255800323359393,3.728621911491814e-05,-0.03901644060169929,0.037905534775435124,-0.021746293989656884,-0.021844076652087097,0.015898665398764444,-0.04888959990858055,0.013867996948420114,-0.004184114731193081,-0.0006294482586310934
0.059832096099853516,-0.08121721369684565,-0.10833870524065903,0.0013016497887710088,0.17141519353390322,-0.023572166047805765,-0.2343634256621474,-0.24625127104036437,0.17932676631615407,0.1424479311904907,0.15735871667061474,-0.04767863109598683,-0.006212500284287437,0.017741417786510283,0.03923409769098962,0.00023828989535878975,-0.052783425159077524,0.05149662268073962,-0.02700341529920003,-0.028350887844908357,0.020847842296262464,-0.0692331374645585,0.01845060852269853,-0.00543971892074388,-0.0006527568897665148
0.08011817932128906,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.1715889517404321,-0.023981234818764907,-0.234543472770679,-0.24625127104036437,0.17932676631615407,0.1424479311904907,0.1577754247239227,-0.04745644820697614,-0.005763766267447679,0.02020134320150646,0.04710681668342542,0.0010756694787037446,-0.06399434584136543,0.06271552467252861,-0.029848392187934003,-0.03380821973360071,0.02478020259193736,-0.08649695098374632,0.02216204313981507,-0.006305807414719727,-0.000485491239099467
0.10002660751342773,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.020044382357127688,0.05296724287942034,0.0008946409331542782,-0.07284890661276222,0.07166408039673333,-0.03088579500114008,-0.037680151829135866,0.02757432080947636,-0.10173604857361607,0.025188680010387543,-0.006891865889788976,-0.00023666474363093215
0.11996293067932129,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.01918246679724689,0.05746795181415065,0.0007583304748157715,-0.08058997679927415,0.07953402337711701,-0.030848853986855218,-0.04070928694818576,0.029756659425734078,-0.11429250854539852,0.02688869027315377,-0.007530395595899561,-0.0004778510607250652
0.1400008201599121,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.01789428181200492,0.06089876494154978,0.0006553462871670135,-0.0871260839187471,0.08611662088778316,-0.030065982058976815,-0.042994560458737396,0.03140320066032648,-0.1251643888695968,0.02817127297839761,-0.008012077499615564,-0.0006602893726270764
0.1599268913269043,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.016393326943671127,0.06344741454875735,0.000578483723710832,-0.09262541607768071,0.09157317329368475,-0.02880594042675977,-0.044697404495309456,0.032630178670445376,-0.13445286614560192,0.029127001507958994,-0.00837096882438089,-0.0007966318665362238
0.1799914836883545,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.014801127779037415,0.0653350175852303,0.0005202752862274451,-0.09735122708048038,0.09616975629227609,-0.02724570171076568,-0.0459846148150973,0.03355772052397121,-0.14248497774333924,0.029849471770376113,-0.008642245105974486,-0.0009000315563980621
0.1998755931854248,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.013234850322987768,0.06667549927808625,0.00047698164930665143,-0.10137114205599573,0.09998396271596843,-0.025542927629316203,-0.04693999263236037,0.034246173606971186,-0.14930640969105902,0.030385706888409914,-0.008843581052085506,-0.0009770573645235814
0.2199876308441162,-0.07957824767322563,-0.10818891486128579,0.002386021060435617,0.17201209369432036,-0.024501534998202512,-0.234517041082837,-0.24609522341688717,0.17921915151224643,0.14172599893940685,0.15854156559998955,-0.04719333559917123,-0.00519498374088645,0.01172201569875142,0.0676186019943521,0.0004440097356095407,-0.10488834137436243,0.10322652246769937,-0.023758682624695382,-0.047665879009173295,0.03476925997753871,-0.15522464707700223,0.030793141079357156,-0.008996552695148416,-0.0010358184734382547
0.239959716796875,-0.07908343387066452,-0.10814251990406909,0.0028696209475853607,0.17252649631359418,-0.02493966538692305,-0.23424167388063655,-0.24620583344358238,0.17919115733360158,0.14099958468051277,0.15930536626251524,-0.04700679188176066,-0.0047321316487876075,0.010843552281812663,0.06821802691626555,0.0008065877145533307,-0.10746473477593099,0.10559699858084826,-0.021734587423633656,-0.04829425096954765,0.035135848748559684,-0.160871320580112,0.031707156360653244,-0.008960876441934051,-0.0007092623414886035
0.25997400283813477,-0.0786189320235735,-0.10812206950627379,0.003353639751250803,0.17303694187444307,-0.025388504106675924,-0.23371895949409627,-0.24631791525030167,0.17921755332445222,0.14010616691596134,0.16002887431386625,-0.04681932997773362,-0.004253172764248525,0.010087839606512716,0.06848985088750215,0.0011028175833684983,-0.10972357162631852,0.10763021635036563,-0.019550893520042578,-0.04877342553777453,0.035453774614330025,-0.1658605925347718,0.03239867094384863,-0.008924261532118213,-0.00042874907204559776
0.2799379825592041,-0.0780894520014499,-0.1081231002677937,0.00383883252395556,0.17340639898293375,-0.025854211862917142,-0.23295435380175267,-0.24626741312522427,0.17928170970842083,0.1389857376330701,0.1605693364565468,-0.04662908190488893,-0.0037606376385923568,0.009528751025300153,0.06847152791963651,0.0013508050513264536,-0.11178946019754221,0.10933582899257699,-0.01724721234277027,-0.049007399897391224,0.035723034028616374,-0.17029048726397011,0.03280703042537425,-0.008884699908218524,-0.00018291107377255145
0.2998692989349365,-0.0780894520014499,-0.1081231002677937,0.00383883252395556,0.17340639898293375,-0.025854211862917142,-0.23295435380175267,-0.24626741312522427,0.17928170970842083,0.1389857376330701,0.1605693364565468,-0.04662908190488893,-0.0037606376385923568,0.008558638135809815,0.0683541715423811,0.0011730547018160564,-0.11391580209078711,0.1111635851900592,-0.015782250340917514,-0.04922043537908394,0.03587660264300546,-0.17314225849500264,0.03270801176131499,-0.008997584470381986,-0.0003678378666833737
