t_rel_s,ros_time_abs_s,p1_x_m,p1_y_m,p1_z_m,p2_x_m,p2_y_m,p2_z_m,p3_x_m,p3_y_m,p3_z_m,p4_x_m,p4_y_m,p4_z_m
0.04996657371520996,1776314578.1381989,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911
0.09989213943481445,1776314578.1881244,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911
0.14997458457946777,1776314578.2382069,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911
0.19997143745422363,1776314578.2882037,-1500.616842215539,-0.9640741858228421,5.645997539044654,-1499.3118222173446,-0.8516662784905761,6.446838846878151,-1500.7475150775003,0.403449278599134,6.843051478732709,-1499.315414885579,0.09073395559848096,5.644362977300835
0.25022077560424805,1776314578.338453,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741
0.29996538162231445,1776314578.3881977,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741
0.3500664234161377,1776314578.4382987,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741
0.399979829788208,1776314578.488212,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741
0.4499654769897461,1776314578.5381978,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741
0.49995899200439453,1776314578.5881913,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314
0.5500996112823486,1776314578.638332,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314
0.5999054908752441,1776314578.6881378,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314
0.6499636173248291,1776314578.738196,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314
0.6999766826629639,1776314578.788209,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314
0.7499489784240723,1776314578.8381813,-1500.6086357006798,-0.9629479546380325,5.651679034278607,-1499.3085417574114,-0.8549719498541816,6.4477904113485485,-1500.7444417386262,0.400877700554068,6.830668821248288,-1499.3121766100708,0.09461342727316081,5.650190137277347
0.8000516891479492,1776314578.888284,-1500.606732072859,-0.9626653511776172,5.652734443814661,-1499.3088788402179,-0.8554388563631787,6.449183057633138,-1500.7430960495042,0.40027544936338083,6.8266275409780315,-1499.3122725857634,0.09540729858825338,5.651255291959178
0.8499948978424072,1776314578.9382272,-1500.606732072859,-0.9626653511776172,5.652734443814661,-1499.3088788402179,-0.8554388563631787,6.449183057633138,-1500.7430960495042,0.40027544936338083,6.8266275409780315,-1499.3122725857634,0.09540729858825338,5.651255291959178
0.8999927043914795,1776314578.988225,-1500.606732072859,-0.9626653511776172,5.652734443814661,-1499.3088788402179,-0.8554388563631787,6.449183057633138,-1500.7430960495042,0.40027544936338083,6.8266275409780315,-1499.3122725857634,0.09540729858825338,5.651255291959178
0.950019359588623,1776314579.0382516,-1500.606732072859,-0.9626653511776172,5.652734443814661,-1499.3088788402179,-0.8554388563631787,6.449183057633138,-1500.7430960495042,0.40027544936338083,6.8266275409780315,-1499.3122725857634,0.09540729858825338,5.651255291959178
0.999885082244873,1776314579.0881174,-1500.6040289728476,-0.9619749408734716,5.654235286500457,-1499.3096856068585,-0.855907913805154,6.451708429539815,-1500.7409530121786,0.3991555038845643,6.819984892660282,-1499.3126185919339,0.09664146700911352,5.652774161925497
1.0499823093414307,1776314579.1382146,-1500.602550808117,-0.9613939209916218,5.655096002246302,-1499.3103059878877,-0.8560467606088081,6.453432226758895,-1500.7396921527113,0.3983606629534009,6.815696926541051,-1499.3128909102518,0.09742555080732607,5.653647540874129
1.0998916625976562,1776314579.188124,-1500.602550808117,-0.9613939209916218,5.655096002246302,-1499.3103059878877,-0.8560467606088081,6.453432226758895,-1500.7396921527113,0.3983606629534009,6.815696926541051,-1499.3128909102518,0.09742555080732607,5.653647540874129
1.1499547958374023,1776314579.238187,-1500.602550808117,-0.9613939209916218,5.655096002246302,-1499.3103059878877,-0.8560467606088081,6.453432226758895,-1500.7396921527113,0.3983606629534009,6.815696926541051,-1499.3128909102518,0.09742555080732607,5.653647540874129
1.2000706195831299,1776314579.288303,-1500.602550808117,-0.9613939209916218,5.655096002246302,-1499.3103059878877,-0.8560467606088081,6.453432226758895,-1500.7396921527113,0.3983606629534009,6.815696926541051,-1499.3128909102518,0.09742555080732607,5.653647540874129
1.2499933242797852,1776314579.3382256,-1500.6006858515275,-0.9604396428971599,5.656165541929667,-1499.3113118975728,-0.856074069892065,6.455857424442709,-1500.7380302122615,0.3971689607572371,6.809849994042039,-1499.3133926739745,0.09849069941334841,5.654736149077265
1.3000776767730713,1776314579.38831,-1500.5968867162514,-0.9580015006894769,5.658040351466107,-1499.3139663518475,-0.8556099105887397,6.460909980144739,-1500.73413252512,0.394405008466448,6.798012954918038,-1499.3151200175218,0.10064603997498552,5.65665915115915
1.3500525951385498,1776314579.4382849,-1500.5968867162514,-0.9580015006894769,5.658040351466107,-1499.3139663518475,-0.8556099105887397,6.460909980144739,-1500.73413252512,0.394405008466448,6.798012954918038,-1499.3151200175218,0.10064603997498552,5.65665915115915
1.4000325202941895,1776314579.4882648,-1500.5968867162514,-0.9580015006894769,5.658040351466107,-1499.3139663518475,-0.8556099105887397,6.460909980144739,-1500.73413252512,0.394405008466448,6.798012954918038,-1499.3151200175218,0.10064603997498552,5.65665915115915
1.4500808715820312,1776314579.5383132,-1500.5968867162514,-0.9580015006894769,5.658040351466107,-1499.3139663518475,-0.8556099105887397,6.460909980144739,-1500.73413252512,0.394405008466448,6.798012954918038,-1499.3151200175218,0.10064603997498552,5.65665915115915
1.4999210834503174,1776314579.5881534,-1500.5954778619707,-0.9569694605152195,5.658642171943529,-1499.3151099958377,-0.8552909086340991,6.462772794349939,-1500.7325334236405,0.3932951657437844,6.7937036786451905,-1499.3159380862232,0.1014364832639508,5.657283971618787
