t_phase_ros_s,ros_time_abs_s,act_1_x,act_1_y,act_1_z,act_2_x,act_2_y,act_2_z,act_3_x,act_3_y,act_3_z,act_4_x,act_4_y,act_4_z,des_1_x,des_1_y,des_1_z,des_2_x,des_2_y,des_2_z,des_3_x,des_3_y,des_3_z,des_4_x,des_4_y,des_4_z,ctrl_1_x,ctrl_1_y,ctrl_1_z,ctrl_2_x,ctrl_2_y,ctrl_2_z,ctrl_3_x,ctrl_3_y,ctrl_3_z,ctrl_4_x,ctrl_4_y,ctrl_4_z,est_1_x,est_1_y,est_1_z,est_2_x,est_2_y,est_2_z,est_3_x,est_3_y,est_3_z,est_4_x,est_4_y,est_4_z
0.04996657371520996,1776314578.1381989,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11956911425045291,-0.13397306424040512,-0.034237142674366616,0.18646536427559113,-0.020876062209326474,-0.23212378418206647,-0.24965152556387693,0.2341733365002891,0.16432082000958648,0.18275527553942084,-0.0793242100505577,-0.035946453078295804,0.030282873097348784,0.05626641048443859,-0.004330143263687525,-0.06727671909584387,0.06008384713929116,-0.038008443876695,-0.031308378763014844,0.029366725151979467,-0.08711230589856811,0.022919291716107182,-0.009919812885596152,-0.0045164959470387345
0.09989213943481445,1776314578.1881244,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11956911425045291,-0.13397306424040512,-0.034237142674366616,0.18646536427559113,-0.020876062209326474,-0.23212378418206647,-0.24965152556387693,0.2341733365002891,0.16432082000958648,0.18275527553942084,-0.0793242100505577,-0.035946453078295804,0.03119911901399064,0.08259412942013111,-0.005955406394869023,-0.10139991847267993,0.09137847580837477,-0.04194505501167711,-0.043047556238661855,0.04037969965970312,-0.14604388882135488,0.03151569100373308,-0.013638597618593803,-0.006214184329684791
0.14997458457946777,1776314578.2382069,-1500.6182077308156,-0.9643472918097213,5.645316404273039,-1499.3121732522895,-0.8512502897786427,6.447429762765339,-1500.748290142129,0.4037991089309728,6.843874366956992,-1499.3158833410257,0.09030156238012602,5.64360709386911,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11956911425045291,-0.13397306424040512,-0.034237142674366616,0.18646536427559113,-0.020876062209326474,-0.23212378418206647,-0.24965152556387693,0.2341733365002891,0.16432082000958648,0.18275527553942084,-0.0793242100505577,-0.035946453078295804,0.02452643333958804,0.09381546689856024,-0.00656893504576761,-0.12134060068638064,0.10884738152517193,-0.03606195362984277,-0.04747226391577897,0.044531124798581956,-0.18406527017684304,0.03475660281992532,-0.015040028020581048,-0.00685649612525463
0.19997143745422363,1776314578.2882037,-1500.616842215539,-0.9640741858228421,5.645997539044654,-1499.3118222173446,-0.8516662784905761,6.446838846878151,-1500.7475150775003,0.403449278599134,6.843051478732709,-1499.315414885579,0.09073395559848096,5.644362977300835,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11820359897387789,-0.13369995825352587,-0.03355600790275215,0.18681639922056092,-0.021292050921259853,-0.23271470006925465,-0.24887646093520743,0.23382350616845027,0.1634979317853027,0.18322373098612843,-0.07889181683220275,-0.03519056964657086,0.018275391679253516,0.09735846199289933,-0.00645752056025195,-0.13341714954503914,0.11838121187607309,-0.0286490640797874,-0.04873532251644974,0.04590476281776612,-0.20790516412195004,0.03619999937609464,-0.015346683407718845,-0.006719419875729216
0.25022077560424805,1776314578.338453,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11555464583352659,-0.13316612850067733,-0.031926483535864136,0.18791447086596236,-0.02226804789927106,-0.2336969984000854,-0.24765071877618539,0.23296824768526397,0.16133697499494826,0.18433236397982,-0.07782549178306124,-0.033440856873306224,0.014258757800007515,0.09696510348801368,-0.005861231087547658,-0.14053440152406438,0.12342251546390537,-0.021999937195583463,-0.048892901696945046,0.0461277432168084,-0.2227807192647706,0.03711834729392649,-0.015094668899117133,-0.006082622662106907
0.29996538162231445,1776314578.3881977,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11555464583352659,-0.13316612850067733,-0.031926483535864136,0.18791447086596236,-0.02226804789927106,-0.2336969984000854,-0.24765071877618539,0.23296824768526397,0.16133697499494826,0.18433236397982,-0.07782549178306124,-0.033440856873306224,0.010193384543526918,0.0957787625154658,-0.0062417491152579885,-0.14706675157208338,0.12740526575880295,-0.016517417377756693,-0.04940197476707908,0.046524219195629324,-0.2312875411133941,0.03704818121059361,-0.01539441470064297,-0.00649281062360707
0.3500664234161377,1776314578.4382987,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11555464583352659,-0.13316612850067733,-0.031926483535864136,0.18791447086596236,-0.02226804789927106,-0.2336969984000854,-0.24765071877618539,0.23296824768526397,0.16133697499494826,0.18433236397982,-0.07782549178306124,-0.033440856873306224,0.007645007501423606,0.09452456580271873,-0.006386778673949323,-0.15204963816722739,0.12991591544456693,-0.012309702914537368,-0.04959576865348936,0.046674905292070246,-0.23701033253133197,0.03702141811254478,-0.01550858853346257,-0.006649365923491857
0.399979829788208,1776314578.488212,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11555464583352659,-0.13316612850067733,-0.031926483535864136,0.18791447086596236,-0.02226804789927106,-0.2336969984000854,-0.24765071877618539,0.23296824768526397,0.16133697499494826,0.18433236397982,-0.07782549178306124,-0.033440856873306224,0.006120501293025882,0.09336791730962646,-0.006440836974193509,-0.1557394831088459,0.13142895906096086,-0.009099459637494256,-0.04966785788474226,0.046730770082738626,-0.2408026295588428,0.037011452759998065,-0.015551115574251095,-0.006707871224575612
0.4499654769897461,1776314578.5381978,-1500.6141932623987,-0.9635403560699936,5.647627063411542,-1499.3107241456992,-0.8526422754685873,6.4458565485473205,-1500.7462893353413,0.4025940201159477,6.840890521942354,-1499.3143062525853,0.09180028064762248,5.6461126900741,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11555464583352659,-0.13316612850067733,-0.031926483535864136,0.18791447086596236,-0.02226804789927106,-0.2336969984000854,-0.24765071877618539,0.23296824768526397,0.16133697499494826,0.18433236397982,-0.07782549178306124,-0.033440856873306224,0.005250140484122312,0.09236710643715407,-0.0064612340261192,-0.15847679857188268,0.1323351056843146,-0.006637323953154528,-0.04969496683270336,0.046751634276871734,-0.24335170687423346,0.03700771600620101,-0.015567153361978892,-0.006730052243668183
0.49995899200439453,1776314578.5881913,-1500.6112661382797,-0.9631911108559157,5.650012662319911,-1499.308727480141,-0.8540768823981467,6.44629261935363,-1500.745820617155,0.4016233906643139,6.835856394064755,-1499.312628497363,0.09342148243536785,5.648528208732314,-1500.4986386165651,-0.8303742275693162,5.679553546947406,-1499.4986386165651,-0.8303742275693162,6.679553546947406,-1500.4986386165651,0.16962577243068372,6.679553546947406,-1499.4986386165651,0.16962577243068372,5.679553546947406,-0.11262752171455759,-0.13281688328659946,-0.029540884627494712,0.18991113642414348,-0.023702654828830494,-0.2332609275937756,-0.2471820005898735,0.2319976182336302,0.15630284711734888,0.1860101192021375,-0.07620428999531587,-0.031025338215092013,0.007150928409600965,0.09001402013660642,-0.005275208725278091,-0.15809144846730305,0.13178250489466425,-0.00402678457550909,-0.04947030551579701,0.046273317687696436,-0.246891605859914,0.03784485469373067,-0.014762253134257164,-0.005530244244538629
